Player,Team,EU Open 1,EU Open 2
dralii,KARMINE CORP,1.193,1.289
Vatira,KARMINE CORP,1.175,1.177
Nico,ASCEND,1.173,1.167
Atow Rikow !,KARMINE CORP,1.097,1.165
zen,TEAM VITALITY,1.212,1.155
nass,NIP,1.184,1.128
M0nkey M00n,TEAM VITALITY,1.105,1.122
ExoTiiK,TEAM VITALITY,1.086,1.116
GiuK,ASCEND,1.065,1.093
oaly.,GEEKAY ESPORTS,1.015,1.077
stizzy,DIGNITAS,0.984,1.063
Archie,GEEKAY ESPORTS,1.007,1.061
LuiisP,100percent,1.067,1.047
yujin,STARTPOINT,0.826,1.045
Joyo,GEEKAY ESPORTS,1.049,1.045
ApparentlyJack,DIGNITAS,1.008,1.041
joreuz,DIGNITAS,1.031,1.038
Mat.,ASCEND,0.984,1.036
AztraL,SAVE THE GAME,0.945,1.029
Shark.,NOMSTER,,1.025
Rebmob_.,NOMSTER,,1.021
Oski,NIP,1.067,1.014
itachi,NIP,1.055,1.007
accro,100percent,1.119,1.006
rehzzy,100percent,1.077,1.006
AcroniK.,STARTPOINT,0.780,1.006
Seikoo,M8 ALPINE,0.956,1.003
Extra,SAVE THE GAME,0.859,0.992
mtzR.,SAVE THE GAME,0.884,0.989
Mittaen,STARTPOINT,0.747,0.983
growlii,CALIENTE,1.034,0.976
.jelly.,NOMSTER,,0.961
juicy,M8 ALPINE,0.927,0.959
Compact,F4WD,,0.951
Kash,REDEMPTION,0.938,0.945
radosin75,M8 ALPINE,0.889,0.944
Rxii,TEAM JJROX,,0.929
Toxiic,REDEMPTION,0.766,0.929
Kaydop,CALIENTE,1.081,0.904
Stake,TEAM JJROX,,0.898
Gawfs,RRG,1.000,0.887
MaRc_By_8.,TEAM JJROX,,0.861
Rizex,RRG,1.036,0.843
Smokez,REDEMPTION,0.735,0.835
saizen,CALIENTE,1.200,0.833
ejby,F4WD,,0.825
Mikeboy,F4WD,,0.812
Rysfox.,RRG,0.996,0.764
Hyderr (new binds),NOVO ESPORTS,1.081,
mala7,NOVO ESPORTS,0.996,
tehqoz,SYNERGY,0.984,
ajg,SYNERGY,0.973,
MayKinhoo,SELECAO,0.972,
Dorito,SYNERGY,0.969,
dead,NOVO ESPORTS,0.942,
rust ez95,SELECAO,0.929,
Ever. .,SELECAO,0.799,
