Player,Team,NA Open 1,NA Open 2
CHEESE.,GENG MOBIL 1,1.233
Andy,DELETED,1.208
Daniel,NRG ESPORTS,1.207
Atomic,NRG ESPORTS,1.200
BeastMode,NRG ESPORTS,1.174
Diaz,COMPLEXITY,1.125
frosty,SPACESTATION,1.100
percy.,OMELETTE,1.098
kxfyr,9LIVES,1.093
crr,COMPLEXITY,1.086
Zineel,OMELETTE,1.077
tawk,TECH,1.072
Scrzbbles,SPACESTATION,1.068
majicbear.,GENG MOBIL 1,1.067
Reysbull,COMPLEXITY,1.060
reveal,SPACESTATION,1.047
Wahvey,DELETED,1.047
Lj,ULTIMATES,1.040
Firstkiller,ULTIMATES,1.037
2Piece,REBELLION,1.030
tcorrell,ALMOST NUTS,1.019
Chronic,ULTIMATES,1.015
Retals,GENG MOBIL 1,1.014
Fiv3Up,PIRATES,1.012
hockser,9LIVES,1.009
Speed,TEAM EVO,0.998
Creamz,PIRATES,0.994
Chicago,9LIVES,0.988
skippy0',ALMOST NUTS,0.987
arju,TEAM EVO,0.979
Gyro.,DELETED,0.978
justin.,REBELLION,0.972
Paarth,REBELLION,0.965
Comm,TECH,0.946
oEvoh,TECH,0.931
hocke,PIRATES,0.927
eekso,STRICTLY BIZ,0.918
Jazii,WURSTLSTAND,0.900
LionBlaze,OMELETTE,0.891
relatingwave,TEAM EVO,0.887
pzy,WURSTLSTAND,0.869
Squishy,TEAM G.A.S.,0.865
GarrettG,TEAM G.A.S.,0.854
Crispy,STRICTLY BIZ,0.849
repeat,ALMOST NUTS,0.843
hazo,WURSTLSTAND,0.777
AYYJAYY,TEAM G.A.S.,0.772
.simas,STRICTLY BIZ,0.772
