team name,player name,rating,rWin,win percentage,rScore,score per game,rGoals,goals per game,rAssists,assists per game,rSaves,saves per game,rShots,shots per game,rShooting,shooting percentage,rDemos,demos inflicted per game
PRAISE,,0.693,0.875,33.33,0.753,267.67,0.327,0.22,0.429,0.22,1.171,1.78,0.395,1.0,0.871,22.22,0.782,0.89
SOUTHWEST SIDE,! Sultan.,0.964,0.875,33.33,1.046,372.0,1.16,0.78,0.429,0.22,1.171,1.78,1.099,2.78,1.097,28.0,0.29,0.33
BLUE TORCH,.,1.049,1.37,52.17,0.981,348.65,0.58,0.39,1.618,0.83,0.974,1.48,0.637,1.61,0.953,24.32,0.879,1.0
360,7mani.,0.644,0.0,0.0,0.933,331.67,0.997,0.67,0.0,0.0,0.875,1.33,1.712,4.33,0.603,15.38,0.879,1.0
F. MARINOS,Arch,0.904,0.375,14.29,0.957,340.29,0.848,0.57,1.676,0.86,0.849,1.29,0.735,1.86,1.206,30.77,2.136,2.43
F. MARINOS,Arrow,0.966,0.375,14.29,1.051,373.57,1.488,1.0,0.565,0.29,1.125,1.71,1.016,2.57,1.524,38.89,1.503,1.71
JUNGLE JUICERS,BaconHero,1.11,1.106,42.11,1.066,378.84,1.324,0.89,0.819,0.42,1.007,1.53,0.957,2.42,1.448,36.96,1.16,1.32
GOD SPEED,Blue,0.888,1.094,41.67,0.777,276.08,0.863,0.58,0.331,0.17,0.823,1.25,0.593,1.5,1.524,38.89,1.318,1.5
90+7,Breezi,1.406,1.897,72.22,1.144,406.89,1.071,0.72,2.066,1.06,1.027,1.56,1.186,3.0,0.943,24.07,0.633,0.72
BLUE TORCH,Burn,1.157,1.37,52.17,1.069,380.13,1.16,0.78,1.189,0.61,0.915,1.39,1.15,2.91,1.053,26.87,0.729,0.83
LUMINOSITY,Catalysm,1.698,2.507,95.45,1.317,468.27,1.755,1.18,1.852,0.95,0.954,1.45,1.241,3.14,1.477,37.68,1.116,1.27
DEKUBOPDUMNEM,Dansku_,1.16,0.829,31.58,1.221,434.0,1.562,1.05,1.033,0.53,1.145,1.74,1.269,3.21,1.285,32.79,0.554,0.63
BLUE TORCH,Echo,1.056,1.37,52.17,0.942,334.74,1.294,0.87,0.253,0.13,0.941,1.43,1.186,3.0,1.136,28.99,0.993,1.13
ROUNDS,FNSi,1.022,1.194,45.45,0.886,315.09,0.952,0.64,0.877,0.45,0.895,1.36,0.684,1.73,1.444,36.84,1.837,2.09
INTAKE REGION,Hadiryas,0.415,0.0,0.0,0.634,225.33,0.491,0.33,0.0,0.0,0.658,1.0,1.056,2.67,0.49,12.5,1.028,1.17
ROUNDS,Jarkuu.,0.263,0.0,0.0,0.934,332.0,0.0,0.0,0.0,0.0,1.316,2.0,0.395,1.0,0.0,0.0,1.758,2.0
90+7,Kevin,1.272,1.897,72.22,1.075,382.22,1.324,0.89,0.76,0.39,0.948,1.44,0.965,2.44,1.425,36.36,1.415,1.61
3RATS,LCT,1.248,1.501,57.14,1.147,407.96,1.116,0.75,1.384,0.71,1.198,1.82,1.17,2.96,0.991,25.3,0.782,0.89
KINOTROPE,Lunatic.,1.13,1.471,56.0,0.909,323.24,1.25,0.84,1.014,0.52,0.553,0.84,0.949,2.4,1.372,35.0,1.687,1.92
ROUNDS,M6R,1.349,1.313,50.0,1.258,447.3,1.636,1.1,1.365,0.7,1.185,1.8,1.344,3.4,1.268,32.35,0.527,0.6
PRAISE,Madhin9,1.118,0.875,33.33,1.113,395.78,1.16,0.78,1.092,0.56,1.389,2.11,0.791,2.0,1.524,38.89,0.387,0.44
ELEVATE,Maxeew,1.151,1.449,55.17,1.054,374.76,1.175,0.79,0.936,0.48,0.974,1.48,1.036,2.62,1.186,30.26,1.573,1.79
SOUTHWEST SIDE,Mu,0.613,0.875,33.33,0.56,199.11,0.164,0.11,1.092,0.56,0.586,0.89,0.439,1.11,0.392,10.0,0.193,0.22
360,N A W 2 F.,0.602,0.0,0.0,0.709,252.0,0.997,0.67,0.0,0.0,0.875,1.33,0.921,2.33,1.12,28.57,0.879,1.0
INTAKE REGION,Nado,0.447,0.0,0.0,0.811,288.5,0.0,0.0,0.975,0.5,0.875,1.33,1.056,2.67,0.0,0.0,0.589,0.67
JUNGLE JUICERS,Nym,1.103,1.106,42.11,0.98,348.37,1.25,0.84,1.228,0.63,0.73,1.11,1.289,3.26,1.011,25.81,1.345,1.53
ELEVATE,Oscillon,1.201,1.449,55.17,1.163,413.66,1.071,0.72,1.15,0.59,1.296,1.97,1.103,2.79,1.016,25.93,1.424,1.62
DEKUBOPDUMNEM,Porsas52,0.87,0.829,31.58,0.784,278.68,0.788,0.53,1.033,0.53,0.73,1.11,0.708,1.79,1.152,29.41,1.433,1.63
KINOTROPE,ReaLize,1.261,1.471,56.0,1.179,419.2,0.833,0.56,2.183,1.12,1.053,1.6,1.186,3.0,0.732,18.67,0.773,0.88
ROUNDS,Renshiro,1.036,1.194,45.45,1.055,375.09,1.086,0.73,0.351,0.18,1.375,2.09,1.008,2.55,1.12,28.57,0.396,0.45
SENZA ESPORTS,Sozya1,0.482,0.0,0.0,0.751,267.17,0.253,0.17,0.975,0.5,0.658,1.0,0.988,2.5,0.261,6.67,0.589,0.67
