team name,player name,rating,rWin,win percentage,rScore,score per game,rGoals,goals per game,rAssists,assists per game,rSaves,saves per game,rShots,shots per game,rShooting,shooting percentage,rDemos,demos inflicted per game
PRAISE,,0.703,0.963,33.33,0.76,267.67,0.317,0.22,0.433,0.22,1.176,1.78,0.398,1.0,0.802,22.22,0.769,0.89
ABSOLUTE CINEMA,! Ghassan,0.722,0.0,0.0,0.942,331.6,1.442,1.0,0.0,0.0,0.793,1.2,0.956,2.4,1.505,41.67,0.691,0.8
SOUTHWEST SIDE,! Sultan.,0.959,0.85,29.41,1.084,381.88,1.183,0.82,0.354,0.18,1.242,1.88,1.055,2.65,1.123,31.11,1.218,1.41
BLUE TORCH,.,0.998,1.355,46.88,0.938,330.31,0.635,0.44,1.299,0.66,0.912,1.38,0.673,1.69,0.936,25.93,0.864,1.0
ELEOROO,.Aziz,1.129,0.963,33.33,1.053,370.78,1.283,0.89,1.102,0.56,1.248,1.89,1.194,3.0,1.07,29.63,1.443,1.67
360,7mani.,0.634,0.0,0.0,0.942,331.67,0.966,0.67,0.0,0.0,0.878,1.33,1.724,4.33,0.555,15.38,0.864,1.0
Rigorous & shisuixnz^^ & AAN1-,AAN1-,1.111,0.722,25.0,1.223,430.75,1.803,1.25,0.236,0.12,1.4,2.12,1.194,3.0,1.505,41.67,0.864,1.0
REVENUE,Abscrazy,0.969,1.324,45.83,1.061,373.67,0.721,0.5,0.748,0.38,1.129,1.71,0.979,2.46,0.734,20.34,1.08,1.25
ABSOLUTE CINEMA,Akai,0.374,0.0,0.0,0.536,188.6,0.288,0.2,0.394,0.2,0.528,0.8,0.319,0.8,0.903,25.0,0.518,0.6
F. MARINOS,Arch,0.898,0.413,14.29,0.966,340.29,0.822,0.57,1.692,0.86,0.852,1.29,0.741,1.86,1.111,30.77,2.1,2.43
F. MARINOS,Arrow,0.952,0.413,14.29,1.061,373.57,1.442,1.0,0.571,0.29,1.129,1.71,1.023,2.57,1.404,38.89,1.477,1.71
ABSOLUTE CINEMA,Arth,0.655,0.0,0.0,1.05,369.6,0.288,0.2,1.574,0.8,1.189,1.8,0.876,2.2,0.328,9.09,0.691,0.8
OVERLOOKED,BaconHero,1.073,1.156,40.0,1.029,362.35,1.154,0.8,1.082,0.55,0.859,1.3,1.095,2.75,1.05,29.09,1.063,1.23
GOD SPEED,Blue,0.99,1.414,48.94,0.939,330.74,0.735,0.51,0.669,0.34,1.182,1.79,0.753,1.89,0.974,26.97,0.899,1.04
0SEC,Breezi,1.203,1.541,53.33,1.087,382.62,1.096,0.76,1.318,0.67,0.997,1.51,1.143,2.87,0.952,26.36,0.674,0.78
UHUH,Bunney,0.922,0.963,33.33,1.048,369.11,0.635,0.44,0.866,0.44,1.433,2.17,0.928,2.33,0.688,19.05,1.823,2.11
CRAZYBOYS,Burn,1.135,1.307,45.24,1.069,376.45,1.067,0.74,1.318,0.67,0.958,1.45,1.167,2.93,0.91,25.2,0.778,0.9
LUMINOSITY,Catalysm,1.633,2.471,85.51,1.249,439.74,1.63,1.13,1.909,0.97,0.812,1.23,1.358,3.41,1.198,33.19,1.002,1.16
DEKUBOP,Dansku_,1.069,1.174,40.62,1.087,382.67,1.038,0.72,0.984,0.5,1.103,1.67,1.202,3.02,0.86,23.83,0.812,0.94
CRAZYBOYS,Echo.,1.0,1.307,45.24,0.923,325.0,1.096,0.76,0.571,0.29,0.773,1.17,1.147,2.88,0.955,26.45,0.76,0.88
ROUNDS,FNSi,1.073,1.217,42.11,1.042,366.87,0.909,0.63,1.043,0.53,1.288,1.95,0.88,2.21,1.032,28.57,1.573,1.82
INTAKE REGION,Hadiryas,0.408,0.0,0.0,0.64,225.33,0.476,0.33,0.0,0.0,0.661,1.0,1.063,2.67,0.451,12.5,1.011,1.17
UHUH,Hireo,0.868,0.321,11.11,1.028,361.89,1.283,0.89,0.649,0.33,0.951,1.44,1.282,3.22,0.996,27.59,0.484,0.56
ROUNDS,Jarkuu.,0.695,0.0,0.0,0.941,331.33,0.476,0.33,0.649,0.33,1.321,2.0,0.267,0.67,1.805,50.0,0.864,1.0
ELEOROO,Jushu,0.859,0.963,33.33,0.9,317.11,0.476,0.33,1.751,0.89,0.37,0.56,1.107,2.78,0.433,12.0,1.149,1.33
CRAZYBOYS,KAKA0/\MAME.,1.015,1.156,40.0,1.068,376.2,1.009,0.7,0.394,0.2,1.453,2.2,1.035,2.6,0.972,26.92,1.21,1.4
REVENUE,Kaizen,1.032,1.324,45.83,0.909,320.21,0.779,0.54,1.22,0.62,0.938,1.42,0.764,1.92,1.02,28.26,1.045,1.21
0SEC,Kevin,1.193,1.541,53.33,1.111,391.27,1.096,0.76,1.22,0.62,1.03,1.56,0.948,2.38,1.148,31.78,1.348,1.56
ELEOROO,Kylo,0.94,0.963,33.33,0.868,305.78,1.283,0.89,0.216,0.11,0.806,1.22,0.84,2.11,1.52,42.11,0.959,1.11
3RATS,LCT,1.354,1.756,60.76,1.166,410.65,1.37,0.95,1.417,0.72,1.044,1.58,1.234,3.1,1.105,30.61,0.899,1.04
KINOTROPE,Lunatic.,1.196,1.635,56.58,0.962,338.72,1.183,0.82,1.259,0.64,0.707,1.07,1.007,2.53,1.166,32.29,1.555,1.8
PRAISE,Madhin9,1.118,0.963,33.33,1.124,395.78,1.125,0.78,1.102,0.56,1.394,2.11,0.796,2.0,1.404,38.89,0.38,0.44
ELEVATE,Maxeew,1.15,1.683,58.24,0.982,345.84,0.966,0.67,1.063,0.54,0.951,1.44,0.9,2.26,1.069,29.61,1.503,1.74
REVENUE,Mike Wazza,1.02,1.333,46.15,0.869,306.0,1.11,0.77,0.748,0.38,0.661,1.0,1.163,2.92,0.95,26.32,1.132,1.31
EXECUTIONERS,Mohanned,1.227,1.839,63.64,1.005,353.86,1.11,0.77,1.082,0.55,0.812,1.23,1.449,3.64,0.767,21.25,0.665,0.77
SOUTHWEST SIDE,Mu,0.583,0.85,29.41,0.55,193.59,0.26,0.18,0.571,0.29,0.661,1.0,0.422,1.06,0.602,16.67,0.458,0.53
360,N A W 2 F.,0.585,0.0,0.0,0.716,252.0,0.966,0.67,0.0,0.0,0.878,1.33,0.928,2.33,1.032,28.57,0.864,1.0
INTAKE REGION,Nado,0.45,0.0,0.0,0.819,288.5,0.0,0.0,0.984,0.5,0.878,1.33,1.063,2.67,0.0,0.0,0.579,0.67
JUNGLE JUICERS!,Nym,1.054,1.196,41.38,0.94,330.93,0.894,0.62,1.496,0.76,0.727,1.1,1.183,2.97,0.756,20.93,1.253,1.45
ELEVATE,Oscillon,1.186,1.683,58.24,1.067,375.91,1.053,0.73,1.043,0.53,1.044,1.58,1.015,2.55,1.027,28.45,1.227,1.42
