team name,player name,rating,rWin,win percentage,rScore,score per game,rGoals,goals per game,rAssists,assists per game,rSaves,saves per game,rShots,shots per game,rShooting,shooting percentage,rDemos,demos inflicted per game
GEEKAY ESPORTS,ARCHIE$,1.128,0.99,43.75,1.165,447.0,1.617,1.0625,0.573,0.3125,1.115,2.0,1.154,3.1875,1.388,33.33,1.025,1.375
DIGNITAS,ApparentlyJack,1.155,1.327,58.62,1.066,409.2413793,1.259,0.8275862069,0.949,0.5172413793,0.981,1.75862069,1.498,4.137931034,0.833,20.0,1.389,1.862068966
KARMINE CORP,Atow.,1.145,1.455,64.29,0.996,382.32,1.278,0.84,0.807,0.44,0.892,1.6,1.332,3.68,0.951,22.83,1.82,2.44
DOPAMINE,AztraL,0.887,0.754,33.33,0.801,307.3333333,1.014,0.6666666667,0.764,0.4166666667,0.79,1.416666667,0.784,2.166666667,1.281,30.77,0.808,1.083333333
SMOKEY BACON,Compact,0.81,0.754,33.33,0.858,329.25,0.888,0.5833333333,0.764,0.4166666667,0.604,1.083333333,0.995,2.75,0.883,21.21,0.435,0.5833333333
SYNERGY,Dorito,0.792,0.88,38.89,0.875,335.6111111,0.592,0.3888888889,0.713,0.3888888889,0.991,1.777777778,0.764,2.111111111,0.767,18.42,0.787,1.055555556
TEAM VITALITY,ExoTiiK,1.11,1.574,69.57,0.891,341.7826087,0.86,0.5652173913,1.356,0.7391304348,0.776,1.391304348,1.054,2.913043478,0.808,19.4,0.875,1.173913043
TEAM BDS,GiuK,0.865,0.566,25.0,1.068,409.875,0.38,0.25,1.605,0.875,1.533,2.75,0.498,1.375,0.757,18.18,1.771,2.375
DANGEROUS,Gramma,1.0,0.566,25.0,0.997,382.5,1.141,0.75,1.605,0.875,0.767,1.375,0.95,2.625,1.19,28.57,1.212,1.625
GEEKAY ESPORTS,Joyo,1.068,0.99,43.75,1.085,416.25,1.141,0.75,1.146,0.625,1.045,1.875,1.04,2.875,1.087,26.09,1.398,1.875
DANGEROUS,Kash,0.985,0.566,25.0,1.121,430.125,0.951,0.625,1.605,0.875,1.045,1.875,1.086,3.0,0.868,20.83,0.932,1.25
DOPAMINE,Kaydop,0.658,0.754,33.33,0.754,289.3333333,0.38,0.25,0.611,0.3333333333,0.836,1.5,0.905,2.5,0.416,10.0,0.559,0.75
100%,LuiisP,1.097,0.905,40.0,1.116,428.4,1.065,0.7,1.467,0.8,1.059,1.9,0.724,2.0,1.458,35.0,0.895,1.2
TEAM VITALITY,M0nkey M00n,1.262,1.574,69.57,1.069,410.1304348,1.191,0.7826086957,1.436,0.7826086957,1.042,1.869565217,1.149,3.173913043,1.027,24.66,0.778,1.043478261
TEAM JJROX,MaRc_By_8.,0.903,1.029,45.45,1.001,384.1818182,0.83,0.5454545455,0.667,0.3636363636,1.014,1.818181818,0.954,2.636363636,0.862,20.69,0.881,1.181818182
F4WD,Mikeboy,0.83,0.97,42.86,0.971,372.4285714,0.543,0.3571428571,0.655,0.3571428571,1.274,2.285714286,0.698,1.928571429,0.771,18.52,0.799,1.071428571
SMOKEY BACON,Mittaen,0.89,0.754,33.33,1.027,394.0833333,1.141,0.75,0.306,0.1666666667,1.069,1.916666667,0.965,2.666666667,1.171,28.12,0.559,0.75
TEAM BSK,Mozzarella!,0.986,1.029,45.45,0.809,310.5454545,1.107,0.7272727273,0.667,0.3636363636,0.71,1.272727273,0.625,1.727272727,1.754,42.11,0.949,1.272727273
TEAM BDS,Nico,0.972,0.566,25.0,0.996,382.375,1.331,0.875,1.146,0.625,0.697,1.25,1.176,3.25,1.121,26.92,0.653,0.875
NIP,Oski,1.199,1.378,60.87,1.077,413.2608696,1.389,0.9130434783,1.037,0.5652173913,0.945,1.695652174,1.275,3.52173913,1.08,25.93,1.005,1.347826087
TEAM BSK,Pisky,0.979,1.029,45.45,0.958,367.5454545,0.968,0.6363636364,1.001,0.5454545455,0.862,1.545454545,0.823,2.272727273,1.166,28.0,1.017,1.363636364
DANGEROUS,Pluvo,1.074,0.566,25.0,1.042,399.875,1.522,1.0,0.688,0.375,1.255,2.25,0.814,2.25,1.851,44.44,1.119,1.5
SYNERGY,Rizex,0.915,0.88,38.89,0.973,373.5,0.93,0.6111111111,0.713,0.3888888889,1.053,1.888888889,1.086,3.0,0.848,20.37,0.746,1.0
TEAM JJROX,Rxii,1.195,1.029,45.45,1.236,474.2727273,1.522,1.0,0.667,0.3636363636,1.521,2.727272727,0.987,2.727272727,1.527,36.67,1.22,1.636363636
DOPAMINE,Rysfox.,0.904,0.754,33.33,0.882,338.5,0.888,0.5833333333,1.07,0.5833333333,0.883,1.583333333,0.784,2.166666667,1.121,26.92,0.435,0.5833333333
M8 ALPINE,Seikoo,1.189,1.257,55.56,1.201,460.9166667,1.395,0.9166666667,0.611,0.3333333333,1.487,2.666666667,1.191,3.291666667,1.16,27.85,0.653,0.875
SMOKEY BACON,Smokez,0.833,0.754,33.33,0.908,348.3333333,0.634,0.4166666667,1.223,0.6666666667,0.79,1.416666667,1.025,2.833333333,0.613,14.71,0.994,1.333333333
TEAM JJROX,Stake,1.048,1.029,45.45,1.117,428.8181818,0.83,0.5454545455,1.167,0.6363636364,1.419,2.545454545,1.119,3.090909091,0.735,17.65,0.814,1.090909091
100%,accro,1.156,0.905,40.0,1.197,459.2,1.522,1.0,0.917,0.5,1.227,2.2,1.448,4.0,1.041,25.0,1.715,2.3
SYNERGY,ajg,0.948,0.88,38.89,0.925,354.8333333,0.93,0.6111111111,1.019,0.5555555556,0.96,1.722222222,0.844,2.333333333,1.091,26.19,1.326,1.777777778
KARMINE CORP,dralii,1.159,1.455,64.29,1.066,409.12,0.974,0.64,1.394,0.76,0.981,1.76,1.202,3.32,0.803,19.28,0.955,1.28
F4WD,ejby,0.883,0.97,42.86,0.999,383.2857143,0.652,0.4285714286,0.917,0.5,1.035,1.857142857,1.086,3.0,0.595,14.29,0.479,0.6428571429
F4WD,growlii,1.087,0.97,42.86,1.197,459.2142857,1.196,0.7857142857,0.917,0.5,1.314,2.357142857,1.163,3.214285714,1.018,24.44,1.012,1.357142857
NIP,itachi,1.152,1.378,60.87,0.878,336.7391304,1.257,0.8260869565,1.356,0.7391304348,0.533,0.9565217391,0.913,2.52173913,1.364,32.76,0.519,0.6956521739
DIGNITAS,joreuz,1.125,1.327,58.62,0.965,370.1724138,1.102,0.724137931,1.392,0.7586206897,0.673,1.206896552,1.335,3.689655172,0.818,19.63,1.414,1.896551724
M8 ALPINE,juicy,1.194,1.257,55.56,1.066,409.0,1.331,0.875,1.376,0.75,0.86,1.541666667,1.252,3.458333333,1.054,25.3,1.336,1.791666667
TEAM BDS,mtzR.,0.78,0.566,25.0,0.92,353.125,0.951,0.625,0.459,0.25,0.836,1.5,1.176,3.25,0.801,19.23,0.466,0.625
NIP,nass,1.206,1.378,60.87,1.051,403.4347826,1.323,0.8695652174,1.356,0.7391304348,0.8,1.434782609,1.07,2.956521739,1.225,29.41,1.2,1.608695652
ATOM UNITY,nuq,0.496,0.566,25.0,0.68,260.875,0.19,0.125,0.459,0.25,0.767,1.375,0.679,1.875,0.278,6.67,0.839,1.125
GEEKAY ESPORTS,oaly.,0.936,0.99,43.75,0.922,353.6875,0.666,0.4375,1.49,0.8125,0.802,1.4375,0.95,2.625,0.694,16.67,1.119,1.5
100%,rehzzy,0.96,0.905,40.0,1.096,420.5,0.761,0.5,1.101,0.6,1.282,2.3,0.869,2.4,0.868,20.83,1.79,2.4
TEAM BSK,rust ez95,1.002,1.029,45.45,0.929,356.5454545,0.83,0.5454545455,1.334,0.7272727273,0.963,1.727272727,1.086,3.0,0.757,18.18,1.22,1.636363636
DIGNITAS,stizzy,1.157,1.327,58.62,1.099,421.6551724,1.207,0.7931034483,1.075,0.5862068966,1.057,1.896551724,1.173,3.24137931,1.019,24.47,0.514,0.6896551724
KARMINE CORP,vatira.,1.199,1.455,64.29,0.967,371.08,1.156,0.76,1.321,0.72,0.959,1.72,0.898,2.48,1.276,30.65,1.462,1.96
ATOM UNITY,velocity,0.589,0.566,25.0,0.831,318.875,0.38,0.25,0.459,0.25,0.906,1.625,0.679,1.875,0.555,13.33,1.305,1.75
ATOM UNITY,vorce,0.807,0.566,25.0,0.972,373.125,0.761,0.5,0.229,0.125,1.394,2.5,0.498,1.375,1.514,36.36,0.653,0.875
M8 ALPINE,yujin,0.985,1.257,55.56,0.907,347.9583333,0.634,0.4166666667,1.452,0.7916666667,0.836,1.5,0.875,2.416666667,0.718,17.24,0.528,0.7083333333
TEAM VITALITY,zen,1.298,1.574,69.57,1.276,489.4782609,1.389,0.9130434783,0.957,0.5217391304,1.358,2.434782609,1.353,3.739130435,1.017,24.42,1.621,2.173913043
Average,,1.0,,44.186,,383.744,,0.657,,0.545,,1.793,,2.763,,24.011,,1.341
