team name,player name,rating,rWin,win percentage,rScore,score per game,rGoals,goals per game,rAssists,assists per game,rSaves,saves per game,rShots,shots per game,rShooting,shooting percentage,rDemos,demos inflicted per game
REDEMPTION,   JWeyts   ,0.441,0.0,0.0,0.653,240.5,0.515,0.33,0.34,0.17,0.575,1.0,0.749,2.0,0.685,16.67,0.268,0.33
NOMSTER,.jelly.  ,1.023,0.618,25.0,0.816,300.75,1.561,1.0,1.001,0.5,0.431,0.75,0.794,2.12,1.933,47.06,0.812,1.0
STARTPOINT,AcroniK.,0.96,1.094,44.26,0.991,365.07,0.765,0.49,1.121,0.56,0.971,1.69,0.828,2.21,0.913,22.22,0.942,1.16
DIGNITAS,ApparentlyJack,1.084,1.321,53.42,1.015,373.95,0.921,0.59,1.181,0.59,1.0,1.74,1.221,3.26,0.742,18.07,1.625,2.0
GEEKAY ESPORTS,Archie,1.222,1.541,62.34,1.064,392.01,1.342,0.86,1.141,0.57,0.822,1.43,1.348,3.6,0.979,23.83,1.056,1.3
KARMINE CORP,Atow.,1.318,1.945,78.67,1.022,376.4,1.202,0.77,1.501,0.75,0.764,1.33,1.153,3.08,1.032,25.11,2.015,2.48
SAVE THE GAME,AztraL,1.007,1.03,41.67,1.072,394.96,0.968,0.62,0.921,0.46,1.103,1.92,0.779,2.08,1.232,30.0,1.219,1.5
F4WD,Compact,0.773,0.494,20.0,1.102,406.0,0.624,0.4,0.801,0.4,1.19,2.07,1.123,3.0,0.548,13.33,0.707,0.87
SYNERGY,Dorito,0.967,0.86,34.78,1.022,376.61,0.89,0.57,1.221,0.61,1.0,1.74,1.075,2.87,0.809,19.7,0.601,0.74
SELECAO,Ever. .,0.64,0.706,28.57,0.831,306.29,0.219,0.14,0.581,0.29,1.149,2.0,0.91,2.43,0.242,5.88,1.276,1.57
TEAM VITALITY,ExoTiiK,1.217,1.506,60.92,0.98,361.09,1.311,0.84,1.321,0.66,0.741,1.29,1.063,2.84,1.214,29.55,0.926,1.14
SAVE THE GAME,Extra,0.895,1.03,41.67,0.911,335.71,0.905,0.58,0.5,0.25,0.96,1.67,0.843,2.25,1.065,25.93,0.845,1.04
RRG,Gawfs,0.874,0.756,30.56,0.903,332.81,0.78,0.5,1.121,0.56,0.879,1.53,1.0,2.67,0.77,18.75,1.332,1.64
ASCEND,GiuK,1.117,1.157,46.81,1.148,422.98,0.858,0.55,1.241,0.62,1.454,2.53,0.637,1.7,1.335,32.5,2.316,2.85
NOVO ESPORTS,Hyderr (new binds),1.079,0.618,25.0,1.161,427.62,1.374,0.88,1.241,0.62,1.149,2.0,1.217,3.25,1.106,26.92,0.812,1.0
GEEKAY ESPORTS,Joyo,1.185,1.541,62.34,1.037,382.05,1.015,0.65,1.481,0.74,0.868,1.51,1.191,3.18,0.838,20.41,0.764,0.94
