team name,player name,rating,rWin,win percentage,rScore,score per game,rGoals,goals per game,rAssists,assists per game,rSaves,saves per game,rShots,shots per game,rShooting,shooting percentage,rDemos,demos inflicted per game
TEAM X,Abdullah,1.113,1.208,50.0,1.119,422.32,0.975,0.68,1.033,0.57,1.382,2.36,1.212,3.32,0.822,20.43,0.915,1.11
ARP,AboTurki.,0.722,0.345,14.29,0.887,334.71,0.817,0.57,0.526,0.29,1.001,1.71,0.938,2.57,0.895,22.22,0.47,0.57
TEAM BOV,B2SEL,1.158,1.208,50.0,0.879,331.75,1.19,0.83,1.813,1.0,0.439,0.75,0.883,2.42,1.388,34.48,1.648,2.0
INVADERS BLUES,Colonel^^,0.572,0.0,0.0,0.769,290.0,0.717,0.5,0.308,0.17,0.878,1.5,0.61,1.67,1.208,30.0,0.824,1.0
AL QADSIAH,DrKnown,1.147,1.365,56.52,1.101,415.39,1.19,0.83,0.943,0.52,1.071,1.83,1.143,3.13,1.062,26.39,1.071,1.3
NIF,FroOtz E,0.538,0.345,14.29,0.65,245.43,0.201,0.14,1.033,0.57,0.755,1.29,0.679,1.86,0.31,7.69,1.178,1.43
AWAWA,Fsol,1.249,1.409,58.33,1.084,409.08,1.434,1.0,1.215,0.67,0.855,1.46,0.942,2.58,1.558,38.71,0.923,1.12
TEAM X,Ghaazi,1.093,1.208,50.0,1.05,396.07,0.975,0.68,1.36,0.75,0.96,1.64,0.978,2.68,1.02,25.33,0.527,0.64
NIGHTMARE,Hatem,1.156,1.271,52.63,1.041,392.84,1.276,0.89,0.961,0.53,1.019,1.74,0.924,2.53,1.426,35.42,0.437,0.53
TEAM FALCONS,Kiileerrz,1.568,1.858,76.92,1.247,470.62,2.036,1.42,1.595,0.88,0.878,1.5,1.376,3.77,1.52,37.76,0.824,1.0
SLEEPING,M7md,1.012,1.006,41.67,1.051,396.58,1.434,1.0,0.308,0.17,0.878,1.5,1.066,2.92,1.38,34.29,1.236,1.5
MTS,M7sn,0.936,1.127,46.67,1.011,381.3,0.616,0.43,1.088,0.6,1.095,1.87,0.814,2.23,0.781,19.4,1.129,1.37
NIGHTMARE,MAJID,1.0,1.098,45.45,0.91,343.18,1.104,0.77,0.816,0.45,0.796,1.36,1.113,3.05,1.021,25.37,0.634,0.77
NIGHTMARE,Mohammed.,1.005,1.098,45.45,1.006,379.64,0.788,0.55,1.323,0.73,0.984,1.68,0.913,2.5,0.878,21.82,1.046,1.27
HOPE,MySTeriOuS,0.674,0.805,33.33,0.704,265.78,0.631,0.44,0.399,0.22,0.521,0.89,0.73,2.0,0.895,22.22,1.557,1.89
NIF,N...,0.86,0.345,14.29,1.095,413.0,1.018,0.71,0.254,0.14,1.675,2.86,0.781,2.14,1.342,33.33,1.178,1.43
INFINITY,Nadr,0.914,0.92,38.1,1.043,393.43,0.745,0.52,0.689,0.38,1.364,2.33,0.989,2.71,0.777,19.3,0.585,0.71
SLEEPING,Naizak,0.785,1.006,41.67,0.866,326.58,0.244,0.17,1.051,0.58,1.218,2.08,0.759,2.08,0.322,8.0,0.412,0.5
SPIES,Ntri,0.771,0.805,33.33,0.927,349.78,0.631,0.44,0.598,0.33,0.913,1.56,1.015,2.78,0.644,16.0,1.557,1.89
AL QADSIAH,Nush,0.985,1.365,56.52,0.89,335.7,0.817,0.57,0.943,0.52,0.761,1.3,1.0,2.74,0.831,20.63,1.145,1.39
TWISTED MINDS,Nwpo,1.511,1.811,75.0,1.194,450.39,1.993,1.39,1.559,0.86,0.667,1.14,1.617,4.43,1.266,31.45,1.269,1.54
NEXUS ESPORTS,Pr.,1.061,0.966,40.0,0.952,359.4,1.577,1.1,0.725,0.4,0.585,1.0,1.424,3.9,1.136,28.21,0.412,0.5
ARP,Prodz,0.618,0.345,14.29,0.826,311.57,0.201,0.14,1.287,0.71,1.089,1.86,0.522,1.43,0.403,10.0,0.939,1.14
HOPE,Rez,0.767,0.805,33.33,0.982,370.67,0.473,0.33,0.399,0.22,1.499,2.56,0.77,2.11,0.636,15.79,0.643,0.78
ARP,Ritsune,0.837,0.345,14.29,0.945,356.43,1.233,0.86,0.78,0.43,0.667,1.14,1.146,3.14,1.098,27.27,0.709,0.86
TEAM FALCONS,Rw9,1.574,1.858,76.92,1.272,479.77,1.376,0.96,2.375,1.31,1.306,2.23,1.066,2.92,1.324,32.89,0.89,1.08
NEXUS ESPORTS,Sergeant,0.948,0.966,40.0,1.043,393.4,0.573,0.4,1.632,0.9,0.937,1.6,0.949,2.6,0.619,15.38,0.494,0.6
MTS,T7LM,1.055,1.127,46.67,1.118,421.7,0.817,0.57,1.269,0.7,1.23,2.1,1.07,2.93,0.778,19.32,0.717,0.87
AL QADSIAH,Tox,1.149,1.365,56.52,1.146,432.48,1.061,0.74,1.033,0.57,1.224,2.09,1.175,3.22,0.925,22.97,0.931,1.13
TEAM X,Twiz,1.052,1.208,50.0,0.924,348.61,1.233,0.86,0.707,0.39,0.837,1.43,1.11,3.04,1.137,28.24,0.733,0.89
TEAM BOV,Venom,1.066,1.208,50.0,0.943,355.67,0.961,0.67,1.215,0.67,0.925,1.58,0.821,2.25,1.193,29.63,1.376,1.67
SPIES,WILLIE,1.024,0.805,33.33,0.975,368.0,1.118,0.78,1.414,0.78,0.779,1.33,1.095,3.0,1.044,25.93,1.096,1.33
AWAWA,Yazeed,1.217,1.409,58.33,1.042,393.33,1.376,0.96,1.124,0.62,0.925,1.58,1.172,3.21,1.203,29.87,0.758,0.92
TWISTED MINDS,atomik,1.357,1.811,75.0,1.086,409.89,1.333,0.93,1.432,0.79,1.001,1.71,1.146,3.14,1.19,29.55,1.03,1.25
NEXUS ESPORTS,bebbangboy,0.945,0.966,40.0,1.038,391.8,0.717,0.5,1.088,0.6,1.171,2.0,0.913,2.5,0.805,20.0,0.577,0.7
INFINITY,cabdllah,0.906,0.92,38.1,0.946,356.9,0.745,0.52,0.87,0.48,1.142,1.95,0.92,2.52,0.835,20.75,2.118,2.57
HOPE,iSL6Nii,0.861,0.805,33.33,0.853,321.67,0.961,0.67,0.598,0.33,0.843,1.44,0.935,2.56,1.05,26.09,1.376,1.67
NIF,isRakan,0.593,0.345,14.29,0.834,314.57,0.416,0.29,0.526,0.29,1.089,1.86,0.73,2.0,0.575,14.29,0.47,0.57
