team name,player name,rating,rWin,win percentage,rScore,score per game,rGoals,goals per game,rAssists,assists per game,rSaves,saves per game,rShots,shots per game,rShooting,shooting percentage,rDemos,demos inflicted per game
INFAMOUS,Abdulaziz,0.616,0.205,7.69,0.822,293.08,0.504,0.31,0.771,0.38,0.986,1.62,0.647,1.62,0.789,19.05,0.512,0.62
TEAM X,Abdullah,1.182,1.268,47.56,1.114,396.95,1.235,0.76,1.116,0.55,1.163,1.91,1.314,3.29,0.951,22.96,1.056,1.28
ARP,AboTurki.,0.781,0.381,14.29,0.939,334.71,0.926,0.57,0.589,0.29,1.041,1.71,1.026,2.57,0.921,22.22,0.47,0.57
TWISTED MINDS,AtomiK,1.39,1.942,72.84,1.097,391.2,1.512,0.93,1.218,0.6,0.907,1.49,1.358,3.4,1.13,27.27,1.229,1.49
TEAM BOV,B2seL,1.118,1.422,53.33,0.966,344.42,0.975,0.6,1.36,0.67,0.797,1.31,1.082,2.71,0.917,22.13,1.262,1.53
INVADERS BLUES,Colonel^^,0.612,0.0,0.0,0.814,290.0,0.813,0.5,0.345,0.17,0.913,1.5,0.667,1.67,1.243,30.0,0.825,1.0
AL QADSIAH,DrKnown,1.148,1.442,54.1,1.075,383.31,1.089,0.67,0.995,0.49,1.096,1.8,1.17,2.93,0.949,22.91,1.205,1.46
MME,Even,0.437,0.381,14.29,0.68,242.57,0.228,0.14,0.284,0.14,0.694,1.14,0.743,1.86,0.319,7.69,0.825,1.0
AFK,Fera,1.079,1.23,46.15,1.073,382.54,1.251,0.77,0.629,0.31,1.029,1.69,1.198,3.0,1.062,25.64,1.716,2.08
AAA,FkToR,0.842,0.381,14.29,0.86,306.43,1.154,0.71,0.284,0.14,0.956,1.57,0.627,1.57,1.883,45.45,1.064,1.29
NIF,FroOtz E,0.585,0.381,14.29,0.688,245.43,0.228,0.14,1.157,0.57,0.785,1.29,0.743,1.86,0.319,7.69,1.18,1.43
AWAWA,Fsol,1.133,1.403,52.63,1.08,384.97,0.991,0.61,1.157,0.57,1.114,1.83,0.971,2.43,1.03,24.86,0.751,0.91
