team name,player name,rating,rWin,win percentage,rScore,score per game,rGoals,goals per game,rAssists,assists per game,rSaves,saves per game,rShots,shots per game,rShooting,shooting percentage,rDemos,demos inflicted per game
STRICTLY BIZ,.$imas,0.893,0.951,39.29,0.862,314.96,1.032,0.64,0.608,0.29,0.696,1.21,1.065,2.82,0.974,22.78,1.281,1.79
REBELLION,2Piece,1.134,1.187,49.06,1.15,420.15,1.096,0.68,1.215,0.58,1.161,2.02,1.205,3.19,0.911,21.3,0.58,0.81
TEAM G.A.S.,AYYJAYY,0.826,0.736,30.43,0.998,364.48,0.484,0.3,0.901,0.43,1.478,2.57,0.673,1.78,0.73,17.07,0.809,1.13
TALLADEGA,Ahduhm,0.461,0.605,25.0,0.601,219.62,0.0,0.0,1.048,0.5,0.431,0.75,0.612,1.62,0.0,0.0,1.611,2.25
PIONEERS,Ahyqua,1.035,0.864,35.71,1.001,365.57,0.983,0.61,1.655,0.79,0.799,1.39,1.118,2.96,0.876,20.48,0.716,1.0
DELETED,Andy,1.136,1.107,45.76,1.143,417.47,1.209,0.75,1.173,0.56,1.121,1.95,1.262,3.34,0.956,22.34,0.58,0.81
NRG ESPORTS,Atomic,1.242,1.586,65.52,1.03,376.16,1.386,0.86,1.236,0.59,0.713,1.24,1.224,3.24,1.138,26.6,0.873,1.22
NRG ESPORTS,BeastMode,1.189,1.586,65.52,1.062,387.92,1.161,0.72,1.027,0.49,0.983,1.71,1.217,3.22,0.962,22.5,1.167,1.63
GEN.G MOBIL 1,CHEE$E.,1.215,1.378,56.94,1.112,406.18,1.435,0.89,0.985,0.47,1.012,1.76,1.19,3.15,1.206,28.19,0.866,1.21
9LIVES,Chicago,1.065,1.34,55.38,0.972,355.02,0.967,0.6,1.09,0.52,0.885,1.54,0.994,2.63,0.976,22.81,0.966,1.35
ULTIMATES,Chronic,1.171,1.496,61.8,1.048,382.65,1.048,0.65,1.341,0.64,0.926,1.61,1.024,2.71,1.03,24.07,0.544,0.76
TECH,Comm,0.837,0.88,36.36,0.843,307.86,0.951,0.59,0.377,0.18,0.834,1.45,0.963,2.55,0.993,23.21,2.048,2.86
PIRATES,Creamz,0.964,0.999,41.3,0.99,361.67,0.983,0.61,0.964,0.46,0.822,1.43,1.118,2.96,0.881,20.59,0.515,0.72
STRICTLY BIZ,Cri$py,0.944,0.951,39.29,1.012,369.61,0.806,0.5,0.964,0.46,1.127,1.96,1.024,2.71,0.788,18.42,0.566,0.79
NRG ESPORTS,Daniel,1.207,1.586,65.52,1.103,402.72,1.064,0.66,1.341,0.64,0.966,1.68,1.247,3.3,0.849,19.86,0.952,1.33
COMPLEXITY,Diaz,1.101,1.341,55.41,1.028,375.26,1.112,0.69,0.88,0.42,1.046,1.82,1.081,2.86,1.029,24.06,0.959,1.34
ULTIMATES,Firstkiller,1.288,1.496,61.8,1.212,442.53,1.435,0.89,1.278,0.61,1.023,1.78,1.217,3.22,1.178,27.53,1.103,1.54
PIRATES,Fiv3Up,1.061,0.999,41.3,1.048,382.74,1.161,0.72,1.131,0.54,0.949,1.65,1.133,3.0,1.023,23.91,1.324,1.85
