team name,player name,rating,rWin,win percentage,rScore,score per game,rGoals,goals per game,rAssists,assists per game,rSaves,saves per game,rShots,shots per game,rShooting,shooting percentage,rDemos,demos inflicted per game
TSM,Amphis,1.254,1.501,64.29,1.087,380.14,1.117,0.75,1.551,0.82,1.104,1.61,0.988,2.46,1.139,30.43,0.81,0.93
THE PUPS,Apples,0.602,0.334,14.29,0.908,317.71,0.432,0.29,0.0,0.0,1.666,2.43,0.631,1.57,0.68,18.18,0.871,1.0
BFG,BFG Bossk,0.655,0.701,30.0,0.765,267.5,0.298,0.2,0.946,0.5,0.822,1.2,0.723,1.8,0.416,11.11,0.261,0.3
BFG,BFG Dreameh,0.875,0.701,30.0,1.028,359.4,0.744,0.5,0.756,0.4,1.371,2.0,1.045,2.6,0.719,19.23,0.261,0.3
BFG,BFG Milo.,0.842,0.701,30.0,0.876,306.4,1.042,0.7,0.378,0.2,0.822,1.2,0.723,1.8,1.455,38.89,0.784,0.9
THE PUPS,Ben,0.56,0.334,14.29,0.931,325.43,0.208,0.14,0.548,0.29,1.275,1.86,0.86,2.14,0.25,6.67,0.749,0.86
SKRIMZ,Caleb,1.314,1.452,62.16,1.139,398.22,1.846,1.24,1.078,0.57,0.706,1.03,1.378,3.43,1.355,36.22,0.993,1.14
OFFICIALPRDGY,Cobbo,1.169,1.495,64.0,1.024,358.16,0.893,0.6,1.437,0.76,1.124,1.64,0.98,2.44,0.92,24.59,1.045,1.2
OFFICIALPRDGY,Creedeny,1.214,1.495,64.0,1.16,405.84,1.31,0.88,0.756,0.4,1.261,1.84,1.012,2.52,1.307,34.92,1.08,1.24
OI OI,Fades,1.126,1.32,56.52,1.038,362.87,1.236,0.83,0.983,0.52,0.891,1.3,1.137,2.83,1.094,29.23,0.644,0.74
WILDCARD,Fever,1.345,1.459,62.5,1.199,419.29,1.37,0.92,1.891,1.0,0.946,1.38,1.253,3.12,1.097,29.33,1.89,2.17
HELFIE CHIEFS,Fiberr,1.163,1.124,48.15,1.121,391.96,1.206,0.81,1.399,0.74,1.042,1.52,1.221,3.04,1.004,26.83,0.967,1.11
OFFICIALPRDGY,Hawk,1.248,1.495,64.0,1.094,382.56,1.37,0.92,1.437,0.76,0.631,0.92,1.527,3.8,0.906,24.21,0.871,1.0
YETI,Kekkles,1.106,0.973,41.67,1.149,402.0,1.742,1.17,0.624,0.33,0.685,1.0,1.137,2.83,1.541,41.18,1.237,1.42
DUMB LUCK,Keta,0.594,0.334,14.29,0.816,285.29,0.208,0.14,0.548,0.29,1.172,1.71,1.261,3.14,0.17,4.55,1.245,1.43
OI OI,Panzer,1.205,2.335,100.0,0.884,309.0,0.491,0.33,1.267,0.67,1.145,1.67,0.803,2.0,0.624,16.67,1.158,1.33
HELFIE CHIEFS,Rezears,1.191,1.124,48.15,1.188,415.33,1.385,0.93,1.116,0.59,1.193,1.74,1.205,3.0,1.155,30.86,1.228,1.41
2MAN,SOUR,1.036,0.849,36.36,1.008,352.36,1.087,0.73,1.21,0.64,1.062,1.55,1.133,2.82,0.966,25.81,1.263,1.45
PWR,Scrub,1.306,1.223,52.38,1.195,417.9,1.563,1.05,1.437,0.76,1.076,1.57,1.587,3.95,0.992,26.51,0.662,0.76
DUMB LUCK,Shugs.,0.806,0.334,14.29,0.868,303.71,1.057,0.71,0.813,0.43,0.781,1.14,0.92,2.29,1.169,31.25,0.993,1.14
YETI,Skworchi,0.912,0.973,41.67,0.952,333.0,0.625,0.42,0.946,0.5,1.316,1.92,0.836,2.08,0.748,20.0,0.94,1.08
TSM,Superlachie,1.15,1.501,64.29,1.053,368.36,1.012,0.68,1.286,0.68,0.857,1.25,1.261,3.14,0.808,21.59,0.592,0.68
RTT,Timmy OCE,0.711,0.908,38.89,0.84,293.89,0.328,0.22,0.738,0.39,1.028,1.5,0.647,1.61,0.516,13.79,1.306,1.5
WILDCARD,Torsos,1.126,1.459,62.5,0.93,325.38,0.923,0.62,1.664,0.88,0.603,0.88,1.036,2.58,0.905,24.19,1.924,2.21
DUMB LUCK,aKame.,0.86,0.334,14.29,0.915,319.86,0.849,0.57,1.078,0.57,1.172,1.71,0.631,1.57,1.36,36.36,0.496,0.57
YETI,bal,1.005,0.973,41.67,0.987,345.08,0.998,0.67,1.097,0.58,0.973,1.42,1.036,2.58,0.966,25.81,0.505,0.58
WILDCARD,bananahead,1.412,1.459,62.5,1.258,440.12,2.233,1.5,1.097,0.58,0.658,0.96,1.539,3.83,1.464,39.13,1.306,1.5
GROUND ZERO,bazlenks,0.803,0.584,25.0,1.03,360.12,0.744,0.5,0.719,0.38,1.028,1.5,0.603,1.5,1.247,33.33,0.54,0.62
OI OI,big gez,1.099,1.437,61.54,0.936,327.31,0.804,0.54,1.381,0.73,1.001,1.46,0.944,2.35,0.859,22.95,1.202,1.38
AXO,ewp,0.767,0.584,25.0,0.947,331.12,0.566,0.38,0.946,0.5,0.857,1.25,1.306,3.25,0.432,11.54,0.331,0.38
GROUND ZERO,finn,0.862,0.584,25.0,0.921,322.12,0.923,0.62,0.946,0.5,0.857,1.25,0.755,1.88,1.247,33.33,2.073,2.38
PWR,gus,1.173,1.223,52.38,1.037,362.52,1.34,0.9,1.437,0.76,0.685,1.0,1.165,2.9,1.165,31.15,1.533,1.76
HELFIE CHIEFS,hntr,1.097,1.124,48.15,1.05,367.11,1.206,0.81,1.116,0.59,0.891,1.3,1.249,3.11,0.98,26.19,1.358,1.56
THE CUP,juck,1.059,0.637,27.27,1.062,371.27,1.489,1.0,0.681,0.36,1.247,1.82,0.984,2.45,1.524,40.74,0.949,1.09
TSM,kaka,1.196,1.501,64.29,1.051,367.68,1.385,0.93,0.946,0.5,0.809,1.18,1.049,2.61,1.333,35.62,1.184,1.36
SKRIMZ,laxin,1.219,1.452,62.16,1.043,364.62,1.087,0.73,1.532,0.81,1.035,1.51,1.041,2.59,1.052,28.12,0.636,0.73
SKRIMZ,lunR,1.292,1.452,62.16,1.159,405.38,1.161,0.78,1.589,0.84,1.295,1.89,1.008,2.51,1.167,31.18,0.636,0.73
2MAN,nemr,0.969,0.849,36.36,1.025,358.55,1.221,0.82,0.34,0.18,1.247,1.82,1.097,2.73,1.122,30.0,2.221,2.55
THE CUP,nerve,0.852,0.637,27.27,1.004,351.18,0.953,0.64,0.681,0.36,0.994,1.45,0.948,2.36,1.007,26.92,0.792,0.91
GROUND ZERO,pagsi,0.682,0.584,25.0,0.732,256.12,0.566,0.38,0.719,0.38,0.768,1.12,0.703,1.75,0.802,21.43,0.871,1.0
OI OI,prompt,1.175,1.437,61.54,1.133,396.42,1.206,0.81,0.946,0.5,1.11,1.62,0.956,2.38,1.267,33.87,1.341,1.54
THE PUPS,rellec,0.493,0.334,14.29,0.645,225.43,0.432,0.29,0.265,0.14,0.685,1.0,0.574,1.43,0.748,20.0,1.123,1.29
RTT,remiik,0.94,0.908,38.89,1.112,388.83,0.744,0.5,0.738,0.39,1.487,2.17,1.093,2.72,0.687,18.37,0.775,0.89
PWR,rez,1.244,1.223,52.38,1.153,403.33,1.34,0.9,1.797,0.95,0.781,1.14,1.149,2.86,1.185,31.67,1.742,2.0
RTT,tatagane,1.075,0.908,38.89,1.091,381.39,1.489,1.0,0.53,0.28,1.104,1.61,1.004,2.5,1.497,40.0,0.531,0.61
2MAN,tonio,0.894,0.849,36.36,0.933,326.27,0.819,0.55,1.04,0.55,0.87,1.27,0.912,2.27,0.898,24.0,1.028,1.18
AXO,vulty,0.916,0.584,25.0,0.945,330.38,1.117,0.75,0.473,0.25,1.11,1.62,0.651,1.62,1.727,46.15,0.653,0.75
AXO,zenulous,0.715,0.584,25.0,0.866,302.75,0.566,0.38,0.719,0.38,0.946,1.38,0.603,1.5,0.935,25.0,0.766,0.88
THE CUP,zombiefreak,0.693,0.637,27.27,0.716,250.27,0.268,0.18,1.381,0.73,0.809,1.18,0.695,1.73,0.394,10.53,0.636,0.73
