team name,player name,rating,rWin,win percentage,rScore,score per game,rGoals,goals per game,rAssists,assists per game,rSaves,saves per game,rShots,shots per game,rShooting,shooting percentage,rDemos,demos inflicted per game
GODFIDENCE,Aztr,0.982,1.187,50.0,0.965,345.08,0.672,0.42,1.243,0.62,1.049,1.71,0.784,2.0,0.853,20.83,2.02,2.92
GODFIDENCE,Bemmz,1.086,1.187,50.0,1.111,397.42,1.2,0.75,0.501,0.25,1.381,2.25,1.011,2.58,1.188,29.03,0.574,0.83
FEAR OF GOD,Brenox,0.891,0.863,36.36,0.904,323.27,0.576,0.36,1.283,0.64,1.006,1.64,1.105,2.82,0.528,12.9,0.629,0.91
FURIA,DRUFINHO,1.589,2.123,89.47,1.225,437.95,1.6,1.0,1.784,0.89,1.196,1.95,1.485,3.79,1.08,26.39,1.017,1.47
YONKO,Davitrox,0.827,0.949,40.0,0.924,330.6,0.64,0.4,0.601,0.3,1.104,1.8,0.862,2.2,0.744,18.18,1.522,2.2
SHAMAN,KnS,1.047,1.079,45.45,0.976,349.23,0.944,0.59,1.643,0.82,0.644,1.05,1.07,2.73,0.887,21.67,0.692,1.0
FURIA,Lostt.,1.568,2.123,89.47,1.138,406.89,1.6,1.0,1.904,0.95,0.969,1.58,1.32,3.37,1.215,29.69,1.203,1.74
TEAM SECRET,Motta,1.358,2.017,85.0,0.965,345.1,1.28,0.8,1.503,0.75,0.706,1.15,0.921,2.35,1.393,34.04,1.107,1.6
GENESIS,Rmn',0.561,0.339,14.29,0.91,325.29,0.688,0.43,0.0,0.0,0.792,1.29,0.838,2.14,0.819,20.0,0.692,1.0
NOVUS AEVI,Royales,1.015,1.319,55.56,0.895,319.96,0.944,0.59,0.882,0.44,0.841,1.37,1.015,2.59,0.936,22.86,1.411,2.04
HUMBERTO,SADNESS,0.963,1.396,58.82,0.914,326.82,0.656,0.41,1.182,0.59,0.687,1.12,0.944,2.41,0.699,17.07,1.217,1.76
TEAM LUXURY,UmBroken,0.795,0.791,33.33,0.816,291.89,1.072,0.67,0.22,0.11,0.614,1.0,0.956,2.44,1.116,27.27,0.616,0.89
SHAMAN,Yukeo,0.979,1.079,45.45,1.022,365.5,1.024,0.64,0.641,0.32,1.061,1.73,0.96,2.45,1.061,25.93,0.878,1.27
