team name,player name,rating,rWin,win percentage,rScore,score per game,rGoals,goals per game,rAssists,assists per game,rSaves,saves per game,rShots,shots per game,rShooting,shooting percentage,rDemos,demos inflicted per game
GODFIDENCE,Aztr,1.019,1.199,51.72,1.008,352.83,0.84,0.49,1.039,0.46,1.09,1.82,0.886,2.23,0.972,22.16,2.176,2.94
GODFIDENCE,Bemmz,1.086,1.226,52.87,1.077,376.8,1.063,0.62,0.881,0.39,1.197,2.0,1.037,2.61,1.044,23.79,0.725,0.98
FEAR OF GOD,Brenox,0.964,1.011,43.59,0.92,321.82,0.789,0.46,1.219,0.54,0.874,1.46,1.192,3.0,0.675,15.38,0.474,0.64
FURIA,DRUFINHO,1.575,1.938,83.58,1.211,423.57,1.869,1.09,1.761,0.78,0.94,1.57,1.435,3.61,1.324,30.17,1.147,1.55
YONKO,Davitrox,1.098,1.07,46.15,1.02,356.81,1.183,0.69,1.219,0.54,0.922,1.54,1.208,3.04,1.0,22.78,1.081,1.46
LUK ESPORTS,FirefoxD,0.729,0.331,14.29,0.815,285.0,0.737,0.43,0.971,0.43,0.772,1.29,0.711,1.79,1.053,24.0,0.688,0.93
LUK ESPORTS,Haberkamper -_-,0.642,0.331,14.29,0.878,307.29,0.617,0.36,0.474,0.21,0.982,1.64,0.652,1.64,0.954,21.74,0.688,0.93
GRATIA,JG.,0.848,0.966,41.67,0.948,331.67,0.72,0.42,0.565,0.25,1.048,1.75,1.025,2.58,0.708,16.13,0.925,1.25
GODFIDENCE,Kavilla,0.535,2.319,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOONRISE,KnS,0.962,1.041,44.9,0.945,330.61,0.84,0.49,1.197,0.53,0.796,1.33,1.014,2.55,0.842,19.2,0.844,1.14
FURIA,Lostt.,1.594,1.938,83.58,1.223,428.04,1.834,1.07,1.784,0.79,1.09,1.82,1.471,3.7,1.274,29.03,1.007,1.36
LUK ESPORTS,Luca$06,0.709,0.331,14.29,0.856,299.36,0.737,0.43,0.655,0.29,0.898,1.5,0.624,1.57,1.197,27.27,0.688,0.93
TEAM SECRET,Motta,1.318,1.614,69.62,1.054,368.85,1.303,0.76,1.716,0.76,0.82,1.37,1.113,2.8,1.191,27.15,1.177,1.59
GRATIA,PJ,0.89,0.966,41.67,0.806,282.17,1.149,0.67,0.384,0.17,0.647,1.08,1.061,2.67,1.097,25.0,0.925,1.25
GENESIS,Rmn',0.885,0.773,33.33,0.921,322.36,1.046,0.61,0.745,0.33,0.7,1.17,0.863,2.17,1.238,28.21,1.273,1.72
NOVUS AEVI,Royales,1.001,1.094,47.17,0.971,339.81,0.977,0.57,0.903,0.4,0.994,1.66,1.073,2.7,0.921,20.98,1.495,2.02
CORINTHIANS,SADNESS,1.058,1.413,60.94,0.996,348.41,0.891,0.52,1.197,0.53,0.766,1.28,1.041,2.62,0.862,19.64,1.784,2.41
OBLIVION ESPORTS,UmBroken,0.842,0.927,40.0,0.926,323.95,0.686,0.4,0.79,0.35,0.928,1.55,0.934,2.35,0.747,17.02,0.703,0.95
FOFOS,ViitiN new bind,0.846,0.464,20.0,1.015,355.07,0.806,0.47,1.061,0.47,1.078,1.8,1.141,2.87,0.714,16.28,0.592,0.8
MOONRISE,Yukeo,0.977,1.041,44.9,1.054,368.96,0.909,0.53,0.745,0.33,1.209,2.02,0.926,2.33,1.001,22.81,0.577,0.78
FOFOS,aguz,0.802,0.464,20.0,0.936,327.4,1.149,0.67,0.294,0.13,0.916,1.53,1.006,2.53,1.155,26.32,0.792,1.07
NOVUS AEVI,alpe.,1.042,1.094,47.17,1.041,364.32,1.029,0.6,1.061,0.47,0.982,1.64,1.133,2.85,0.93,21.19,1.243,1.68
CORINTHIANS,bradk1ng,1.228,1.413,60.94,1.101,385.08,1.371,0.8,1.084,0.48,1.048,1.75,1.129,2.84,1.229,28.02,0.777,1.05
SUNSET,caard,1.203,1.048,45.21,1.211,423.81,1.543,0.9,1.016,0.45,1.138,1.9,1.487,3.74,1.061,24.18,0.799,1.08
NOVUS AEVI,caiotg1,1.106,1.094,47.17,1.07,374.43,0.994,0.58,1.49,0.66,1.006,1.68,1.236,3.11,0.824,18.79,0.992,1.34
SUNSET,crn    ,0.954,1.048,45.21,1.052,368.25,0.514,0.3,1.265,0.56,1.389,2.32,0.823,2.07,0.639,14.57,0.873,1.18
FEAR OF GOD,dappluto,1.099,1.011,43.59,1.054,368.62,1.32,0.77,1.219,0.54,0.766,1.28,1.252,3.15,1.07,24.39,1.273,1.72
SUNSET,davi,0.964,1.048,45.21,0.913,319.51,0.909,0.53,1.016,0.45,0.802,1.34,0.795,2.0,1.172,26.71,0.977,1.32
CORINTHIANS,droppz,1.138,1.413,60.94,1.032,361.08,1.183,0.69,1.084,0.48,0.814,1.36,1.184,2.98,1.011,23.04,1.051,1.42
FEAR OF GOD,ianpinheiro,1.012,0.843,36.36,1.051,367.64,1.097,0.64,1.016,0.45,1.09,1.82,1.014,2.55,1.097,25.0,1.347,1.82
FEAR OF GOD,ianpinheiro,0.963,1.076,46.43,1.0,350.07,0.857,0.5,0.723,0.32,1.173,1.96,1.093,2.75,0.798,18.18,1.214,1.64
BOCA TEAM,kevinacho,0.853,0.58,25.0,0.977,341.94,1.063,0.62,0.429,0.19,1.084,1.81,0.946,2.38,1.155,26.32,1.621,2.19
YONKO,klaus queridinho,1.138,1.07,46.15,1.065,372.77,1.457,0.85,0.858,0.38,1.012,1.69,1.025,2.58,1.441,32.84,1.28,1.73
TEAM SECRET,kv1,1.505,1.971,85.0,1.141,399.4,2.057,1.2,1.242,0.55,0.629,1.05,1.391,3.5,1.505,34.29,1.184,1.6
TEAM SECRET,kv1.exe,1.265,1.493,64.41,1.09,381.49,1.543,0.9,1.039,0.46,0.874,1.46,1.427,3.59,1.097,25.0,1.14,1.54
