team name,player name,rating,rWin,win percentage,rScore,score per game,rGoals,goals per game,rAssists,assists per game,rSaves,saves per game,rShots,shots per game,rShooting,shooting percentage,rDemos,demos inflicted per game
CRISTOBAL COLON,-yova,0.839,0.332,14.29,1.175,422.86,0.606,0.43,1.261,0.71,1.519,2.29,0.897,2.43,0.67,17.65,1.0,1.14
LIMITLESS,2Die4,1.116,1.362,58.62,1.116,401.76,0.972,0.69,0.924,0.52,1.327,2.0,0.853,2.31,1.134,29.85,1.333,1.52
DUNNO CHIEF,ASN_RuBiiX,0.909,1.017,43.75,0.912,328.12,1.141,0.81,0.444,0.25,0.664,1.0,1.037,2.81,1.097,28.89,0.825,0.94
DUNNO CHIEF,Bryza 0',1.0,1.017,43.75,0.923,332.19,0.437,0.31,2.22,1.25,0.869,1.31,1.015,2.75,0.432,11.36,0.333,0.38
1S MAINS,Calzafy,0.295,0.0,0.0,0.649,233.5,0.0,0.0,0.0,0.0,0.995,1.5,0.923,2.5,0.0,0.0,0.439,0.5
PSV EINDHOVEN,DAYYS!,1.033,1.162,50.0,0.917,330.08,1.169,0.83,0.888,0.5,0.717,1.08,1.292,3.5,0.904,23.81,1.026,1.17
GENESIX,DECLAN.0,0.958,0.845,36.36,1.035,372.5,0.901,0.64,1.137,0.64,1.028,1.55,1.008,2.73,0.886,23.33,1.035,1.18
GENESIX,Dapz,0.956,0.845,36.36,0.931,335.05,1.028,0.73,0.977,0.55,0.902,1.36,0.89,2.41,1.147,30.19,1.079,1.23
TRI-FECTA,EliakimZA,0.689,0.774,33.33,0.819,294.67,0.62,0.44,0.195,0.11,0.809,1.22,1.148,3.11,0.543,14.29,1.167,1.33
GENESIX,Friction,0.841,0.845,36.36,0.802,288.77,0.775,0.55,0.888,0.5,0.783,1.18,0.805,2.18,0.95,25.0,1.035,1.18
1S MAINS,Halden,0.978,0.929,40.0,0.919,330.7,1.408,1.0,0.355,0.2,0.73,1.1,0.886,2.4,1.583,41.67,0.526,0.6
HEY (WITH RIZZ),Ivan.,1.263,1.549,66.67,1.119,402.63,1.465,1.04,1.119,0.63,0.882,1.33,1.122,3.04,1.297,34.15,1.167,1.33
