team name,player name,rating,rWin,win percentage,rScore,score per game,rGoals,goals per game,rAssists,assists per game,rSaves,saves per game,rShots,shots per game,rShooting,shooting percentage,rDemos,demos inflicted per game
CRISTOBAL COLON,-yova,0.973,0.852,35.9,1.055,369.72,0.881,0.62,1.155,0.64,1.086,1.62,0.867,2.21,1.055,27.91,1.051,1.13
LIMITLESS,2Die4,1.242,1.44,60.67,1.168,409.12,1.293,0.91,1.119,0.62,1.18,1.76,1.154,2.94,1.169,30.92,1.302,1.4
BULLETPROOF,ASN_RuBiiX,1.149,1.246,52.5,1.089,381.42,1.251,0.88,1.029,0.57,1.039,1.55,1.111,2.83,1.171,30.97,0.911,0.98
BULLETPROOF,AcePritchards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTRONIC ESPORTS,Anyeelo.,0.949,0.838,35.29,0.856,300.0,0.838,0.59,1.281,0.71,0.905,1.35,0.808,2.06,1.08,28.57,0.874,0.94
ASTRONIC ESPORTS,Bairechuu,1.12,0.838,35.29,1.239,434.06,1.251,0.88,0.956,0.53,1.501,2.24,1.338,3.41,0.978,25.86,1.255,1.35
BULLETPROOF,Bryza 0',1.194,1.246,52.5,1.049,367.33,1.251,0.88,1.588,0.88,0.771,1.15,1.224,3.12,1.058,28.0,0.437,0.47
1S MAINS,Calzafy,0.306,0.0,0.0,0.667,233.5,0.0,0.0,0.0,0.0,1.005,1.5,0.981,2.5,0.0,0.0,0.465,0.5
LE BOSH,DAYYS!,1.067,1.148,48.39,1.007,352.73,1.165,0.82,1.01,0.56,0.831,1.24,1.138,2.9,1.071,28.33,1.292,1.39
GENESIX,Dapz,0.984,0.929,39.13,0.965,338.22,1.08,0.76,0.83,0.46,0.945,1.41,0.922,2.35,1.225,32.41,1.209,1.3
TRI-FECTA,EliakimZA,1.015,0.971,40.91,1.092,382.64,1.35,0.95,0.487,0.27,0.912,1.36,1.303,3.32,1.088,28.77,1.013,1.09
GENESIX,Friction,0.921,0.929,39.13,0.827,289.63,0.924,0.65,1.029,0.57,0.67,1.0,0.938,2.39,1.031,27.27,1.19,1.28
1S MAINS,Halden,0.994,0.949,40.0,0.944,330.7,1.421,1.0,0.361,0.2,0.737,1.1,0.942,2.4,1.575,41.67,0.558,0.6
COSMICO ESPORTS,Happymeal,0.858,0.999,42.11,0.781,273.47,0.668,0.47,1.137,0.63,0.597,0.89,0.867,2.21,0.81,21.43,1.032,1.11
