team name,player name,rating,rWin,win percentage,rScore,score per game,rGoals,goals per game,rAssists,assists per game,rSaves,saves per game,rShots,shots per game,rShooting,shooting percentage,rDemos,demos inflicted per game
ABSOLUTE CINEMA,! Ghassan,0.682,0.0,0.0,0.909,331.6,1.343,1.0,0.0,0.0,0.78,1.2,0.926,2.4,1.382,41.67,0.72,0.8
shisuixnz^^ & AAN1- & Rigorous,AAN1-,1.033,0.603,25.0,1.18,430.75,1.679,1.25,0.211,0.12,1.379,2.12,1.158,3.0,1.382,41.67,0.9,1.0
REVENUE,Abscrazy,0.916,1.113,46.15,1.069,390.23,0.833,0.62,0.545,0.31,1.099,1.69,1.069,2.77,0.737,22.22,0.9,1.0
ABSOLUTE CINEMA,Akai,0.35,0.0,0.0,0.517,188.6,0.269,0.2,0.351,0.2,0.52,0.8,0.309,0.8,0.829,25.0,0.54,0.6
ABSOLUTE CINEMA,Arth,0.615,0.0,0.0,1.013,369.6,0.269,0.2,1.406,0.8,1.171,1.8,0.849,2.2,0.301,9.09,0.72,0.8
OVERLOOKED,BaconHero,0.968,0.877,36.36,0.976,356.18,0.98,0.73,1.283,0.73,0.767,1.18,1.089,2.82,0.856,25.81,0.819,0.91
GOD SPEED,Blue,0.884,1.096,45.45,0.974,355.36,0.604,0.45,0.474,0.27,1.476,2.27,0.911,2.36,0.638,19.23,0.738,0.82
0SEC,Breezi,1.025,1.072,44.44,1.037,378.56,1.115,0.83,0.878,0.5,0.976,1.5,1.181,3.06,0.904,27.27,0.747,0.83
UHUH,Bunney,0.638,0.345,14.29,0.954,348.0,0.188,0.14,1.001,0.57,1.392,2.14,0.826,2.14,0.221,6.67,2.06,2.29
CRAZYBOYS,Burn,0.908,0.964,40.0,0.932,340.0,0.537,0.4,1.406,0.8,0.911,1.4,1.158,3.0,0.442,13.33,0.9,1.0
LUMINOSITY,Catalysm,1.414,1.929,80.0,1.142,416.76,1.45,1.08,1.757,1.0,0.728,1.12,1.297,3.36,1.066,32.14,0.936,1.04
DEKUBOP,Dansku_,0.974,1.254,52.0,0.957,349.16,0.752,0.56,0.914,0.52,0.963,1.48,1.251,3.24,0.573,17.28,0.756,0.84
CRAZYBOYS,Echo.,0.835,0.964,40.0,0.841,306.8,0.94,0.7,0.703,0.4,0.325,0.5,1.351,3.5,0.663,20.0,0.63,0.7
ROUNDS,FNSi,1.004,0.982,40.74,1.063,387.96,0.846,0.63,0.984,0.56,1.424,2.19,0.93,2.41,0.867,26.15,1.53,1.7
UHUH,Hireo,0.617,0.345,14.29,0.794,289.57,0.765,0.57,0.246,0.14,0.741,1.14,1.046,2.71,0.698,21.05,0.261,0.29
ROUNDS,Jarkuu.,0.978,0.0,0.0,0.907,331.0,0.671,0.5,0.878,0.5,1.301,2.0,0.193,0.5,3.316,100.0,0.45,0.5
CRAZYBOYS,KAKA0/\MAME.,0.933,0.964,40.0,1.031,376.2,0.94,0.7,0.351,0.2,1.431,2.2,1.004,2.6,0.893,26.92,1.26,1.4
REVENUE,Kaizen,0.98,1.113,46.15,0.863,314.77,0.725,0.54,1.493,0.85,0.8,1.23,0.714,1.85,0.967,29.17,1.179,1.31
0SEC,Kevin,1.047,1.072,44.44,1.062,387.5,0.967,0.72,1.177,0.67,1.119,1.72,0.88,2.28,1.052,31.71,1.503,1.67
3RATS,LCT,1.234,1.4,58.06,1.112,405.68,1.383,1.03,1.247,0.71,0.989,1.52,1.17,3.03,1.129,34.04,0.9,1.0
KINOTROPE,Lunatic.,1.117,1.315,54.55,1.013,369.68,1.101,0.82,1.283,0.73,0.859,1.32,1.0,2.59,1.047,31.58,1.844,2.05
ELEVATE,Maxeew,1.13,1.722,71.43,0.932,340.14,0.913,0.68,0.949,0.54,1.002,1.54,0.772,2.0,1.125,33.93,1.089,1.21
REVENUE,Mike Wazza,0.926,1.113,46.15,0.839,306.0,1.034,0.77,0.668,0.38,0.65,1.0,1.127,2.92,0.873,26.32,1.179,1.31
ELEVATE,Oscillon,1.062,1.722,71.43,0.886,323.32,0.859,0.64,0.878,0.5,0.767,1.18,0.911,2.36,0.904,27.27,1.089,1.21
DEKUBOP,Porsas,1.007,1.254,52.0,0.83,302.76,1.021,0.76,0.914,0.52,0.754,1.16,0.926,2.4,1.05,31.67,0.864,0.96
KINOTROPE,ReaLize,1.252,1.315,54.55,1.179,430.27,1.276,0.95,1.599,0.91,1.008,1.55,1.421,3.68,0.86,25.93,1.269,1.41
ROUNDS,Renshiro,1.052,0.982,40.74,1.004,366.52,1.249,0.93,1.037,0.59,0.891,1.37,0.988,2.56,1.201,36.23,0.63,0.7
shisuixnz^^ & AAN1- & Rigorous,Rigorous,0.832,0.603,25.0,0.868,316.88,0.671,0.5,1.318,0.75,0.898,1.38,0.919,2.38,0.698,21.05,0.9,1.0
ROUNDS,Ryomen M6R Chat Off,1.249,1.061,44.0,1.207,440.6,1.504,1.12,1.476,0.84,1.145,1.76,1.127,2.92,1.272,38.36,1.008,1.12
LUMINOSITY,Sphinx,1.34,1.929,80.0,1.106,403.76,1.235,0.92,1.687,0.96,0.702,1.08,1.251,3.24,0.942,28.4,1.512,1.68
