team name,player name,rating,rWin,win percentage,rScore,score per game,rGoals,goals per game,rAssists,assists per game,rSaves,saves per game,rShots,shots per game,rShooting,shooting percentage,rDemos,demos inflicted per game
REBELLION,2Piece,1.217,1.344,56.67,1.155,427.6,1.209,0.77,1.343,0.67,1.117,1.93,1.27,3.4,0.954,22.55,0.597,0.8
TALLADEGA,Ahduhm,0.451,0.593,25.0,0.593,219.62,0.0,0.0,1.002,0.5,0.434,0.75,0.605,1.62,0.0,0.0,1.68,2.25
PIONEERS,Ahyqua,0.721,0.339,14.29,0.882,326.57,0.675,0.43,1.142,0.57,0.66,1.14,1.068,2.86,0.635,15.0,0.53,0.71
DELETED,Andy,1.145,0.97,40.91,1.189,439.95,1.288,0.82,1.182,0.59,1.238,2.14,1.068,2.86,1.209,28.57,0.679,0.91
NRG ESPORTS,Atomic,1.323,1.778,75.0,1.071,396.18,1.571,1.0,1.142,0.57,0.7,1.21,1.229,3.29,1.288,30.43,1.038,1.39
NRG ESPORTS,BeastMode,1.225,1.778,75.0,1.068,395.29,1.178,0.75,0.862,0.43,1.036,1.79,1.322,3.54,0.898,21.21,1.277,1.71
GENG MOBIL 1,CHEESE.,0.809,0.79,33.33,0.984,364.22,0.88,0.56,0.22,0.11,1.094,1.89,0.87,2.33,1.008,23.81,0.911,1.22
9LIVES,Chicago,1.217,1.547,65.22,1.041,385.43,1.304,0.83,1.142,0.57,0.857,1.48,1.106,2.96,1.182,27.94,0.717,0.96
ULTIMATES,Chronic,1.052,1.39,58.62,1.028,380.38,0.974,0.62,0.822,0.41,0.978,1.69,1.005,2.69,0.977,23.08,0.567,0.76
PIRATES,Creamz,1.034,0.862,36.36,1.079,399.18,1.429,0.91,0.541,0.27,1.053,1.82,1.121,3.0,1.282,30.3,0.411,0.55
NRG ESPORTS,Daniel,1.224,1.778,75.0,1.081,399.93,0.958,0.61,1.363,0.68,0.972,1.68,1.199,3.21,0.799,18.89,0.933,1.25
COMPLEXITY,Diaz,1.101,1.344,56.67,1.038,384.07,0.99,0.63,1.062,0.53,1.082,1.87,1.094,2.93,0.914,21.59,1.172,1.57
ULTIMATES,Firstkiller,1.282,1.39,58.62,1.219,451.31,1.571,1.0,1.102,0.55,1.059,1.83,1.248,3.34,1.265,29.9,1.157,1.55
PIRATES,Fiv3Up,0.98,0.862,36.36,0.92,340.36,1.147,0.73,1.102,0.55,0.683,1.18,1.087,2.91,1.058,25.0,1.493,2.0
THE WOO,Forece,0.739,0.79,33.33,0.785,290.44,0.691,0.44,0.22,0.11,1.03,1.78,0.788,2.11,0.891,21.05,1.329,1.78
DELETED,Gyro.,0.957,0.97,40.91,0.927,343.05,0.927,0.59,1.002,0.5,0.897,1.55,1.02,2.73,0.917,21.67,1.157,1.55
PIONEERS,JKnaps,0.637,0.339,14.29,0.745,275.57,0.455,0.29,0.862,0.43,0.828,1.43,0.426,1.14,1.058,25.0,0.321,0.43
NAC,Justuszzz,0.958,0.862,36.36,0.952,352.23,0.927,0.59,1.102,0.55,0.972,1.68,0.934,2.5,1.0,23.64,1.628,2.18
OMELETTE,LionBlaze,0.976,1.094,46.15,1.0,370.15,0.848,0.54,0.621,0.31,1.377,2.38,0.833,2.23,1.022,24.14,0.635,0.85
ULTIMATES,Lj,1.145,1.39,58.62,1.024,378.79,0.817,0.52,1.724,0.86,0.978,1.69,1.094,2.93,0.747,17.65,1.336,1.79
NAC,Matt,1.032,0.862,36.36,0.989,366.0,1.147,0.73,1.283,0.64,0.839,1.45,1.121,3.0,1.026,24.24,1.083,1.45
REBELLION,Paarth,1.198,1.344,56.67,1.026,379.8,1.099,0.7,1.663,0.83,0.885,1.53,0.908,2.43,1.217,28.77,1.098,1.47
GENG MOBIL 1,Retals,0.991,0.79,33.33,1.066,394.33,1.052,0.67,1.122,0.56,1.03,1.78,1.038,2.78,1.016,24.0,1.74,2.33
COMPLEXITY,Reysbull,1.036,1.344,56.67,0.994,367.7,0.942,0.6,0.862,0.43,0.966,1.67,0.945,2.53,1.002,23.68,0.694,0.93
