team name,player name,rating,rWin,win percentage,rScore,score per game,rGoals,goals per game,rAssists,assists per game,rSaves,saves per game,rShots,shots per game,rShooting,shooting percentage,rDemos,demos inflicted per game
CRISTOBAL COLON,-yova,1.013,1.009,43.48,1.057,380.13,0.969,0.7,1.054,0.61,1.054,1.57,0.915,2.39,1.076,29.09,0.942,1.09
LIMITLESS,2Die4,1.03,1.422,61.29,0.95,341.65,0.762,0.55,1.054,0.61,0.973,1.45,0.976,2.55,0.796,21.52,0.89,1.03
LE BOSH,DAYYS!,1.189,1.16,50.0,1.082,388.96,1.33,0.96,1.469,0.85,0.852,1.27,1.091,2.85,1.249,33.78,1.366,1.58
GENESIX,Dapz,1.104,1.16,50.0,1.015,365.08,1.385,1.0,0.57,0.33,1.061,1.58,0.987,2.58,1.432,38.71,0.933,1.08
GENESIX,Friction,1.008,1.16,50.0,0.832,299.08,1.039,0.75,1.158,0.67,0.557,0.83,1.052,2.75,1.009,27.27,1.15,1.33
HEY (WITH RIZZ),Ivan.,1.3,1.574,67.86,1.089,391.43,1.482,1.07,1.054,0.61,0.96,1.43,0.888,2.32,1.707,46.15,1.262,1.46
PONEY NO JUTSU !,Kata Rikow !,0.444,0.332,14.29,0.633,227.71,0.0,0.0,0.743,0.43,1.148,1.71,0.494,1.29,0.0,0.0,0.864,1.0
WORLD OF TANKS,Kito,0.974,0.58,25.0,0.883,317.62,1.039,0.75,1.072,0.62,0.926,1.38,0.574,1.5,1.849,50.0,0.216,0.25
VANGUARD,Lba,0.876,0.967,41.67,0.911,327.67,0.692,0.5,0.726,0.42,1.061,1.58,1.148,3.0,0.616,16.67,0.501,0.58
MAESTROS,Leoro,1.305,1.52,65.52,1.173,421.86,1.385,1.0,1.244,0.72,1.134,1.69,0.949,2.48,1.49,40.28,1.279,1.48
MUSTU FLUCK,Madssssss.,0.947,0.884,38.1,0.925,332.48,1.122,0.81,0.83,0.48,0.671,1.0,1.366,3.57,0.838,22.67,1.072,1.24
CHOCCARANILLA,N1TR.,0.552,0.332,14.29,0.662,238.14,0.596,0.43,0.501,0.29,0.383,0.57,0.601,1.57,1.009,27.27,0.743,0.86
CRISTOBAL COLON,PinGu,0.896,1.009,43.48,0.793,285.04,0.596,0.43,1.21,0.7,0.933,1.39,0.75,1.96,0.822,22.22,0.977,1.13
HEY (WITH RIZZ),Revezy,1.225,1.574,67.86,1.083,389.36,1.039,0.75,1.417,0.82,1.081,1.61,1.106,2.89,0.959,25.93,0.83,0.96
MUSTU FLUCK,Rexo,0.893,0.884,38.1,0.929,334.14,0.665,0.48,1.227,0.71,0.926,1.38,0.964,2.52,0.698,18.87,0.285,0.33
VANGUARD,Rixy.,0.959,0.967,41.67,1.01,363.25,0.928,0.67,0.57,0.33,1.342,2.0,0.987,2.58,0.955,25.81,1.011,1.17
HAIBO,SkillSteal,0.954,0.928,40.0,1.038,373.3,1.108,0.8,1.037,0.6,0.537,0.8,1.072,2.8,1.057,28.57,1.037,1.2
LIMITLESS,Snowyy,1.178,1.422,61.29,1.073,385.97,1.246,0.9,1.175,0.68,0.826,1.23,1.259,3.29,1.015,27.45,1.029,1.19
LIMITLESS,Sweaty,1.068,1.422,61.29,0.982,353.23,0.983,0.71,0.778,0.45,1.04,1.55,1.049,2.74,0.957,25.88,0.89,1.03
CRISTOBAL COLON,Syke,1.133,1.009,43.48,1.145,411.57,1.385,1.0,0.743,0.43,1.316,1.96,1.014,2.65,1.394,37.7,0.562,0.65
MAESTROS,TORRES8232,1.212,1.52,65.52,1.041,374.28,0.997,0.72,1.556,0.9,0.993,1.48,1.186,3.1,0.863,23.33,1.219,1.41
PONEY NO JUTSU !,Teschow.,0.821,0.332,14.29,1.157,416.0,0.402,0.29,1.227,0.71,1.92,2.86,0.547,1.43,0.74,20.0,0.985,1.14
CHOCCARANILLA,Tristiano Swartznaldo,0.567,0.332,14.29,0.833,299.57,0.402,0.29,0.242,0.14,1.248,1.86,0.765,2.0,0.528,14.29,1.236,1.43
77BLOCKS,Twister.,1.31,1.45,62.5,1.204,432.92,1.44,1.04,1.158,0.67,1.316,1.96,1.194,3.12,1.233,33.33,0.147,0.17
MAESTROS,VKSailen,1.296,1.52,65.52,1.135,408.1,1.523,1.1,1.365,0.79,0.738,1.1,1.412,3.69,1.106,29.91,2.083,2.41
WORLD OF TANKS,WORSTPLEJER,1.073,0.58,25.0,1.129,405.75,0.692,0.5,2.385,1.38,1.342,2.0,0.861,2.25,0.822,22.22,0.328,0.38
COSMICO ESPORTS,Werty ^^,0.823,1.114,48.0,0.707,254.04,0.609,0.44,0.899,0.52,0.591,0.88,0.781,2.04,0.798,21.57,0.899,1.04
